fight_id,event_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time
1303,147,Kevin Mulhall,207.0,2656.0,2656.0,3,F,Light Heavyweight,M,Decision,Unanimous,3,5:00
1302,147,Keith Peterson,1041.0,594.0,1041.0,3,F,Welterweight,M,DQ,Illegal Kick by Soto,3,1:30
1301,146,Herb Dean,265.0,2349.0,2349.0,3,F,Light Heavyweight,M,KO/TKO,Elbow to Head From Guard,1,3:19
1300,146,Josh Rosenthal,3184.0,2792.0,3184.0,3,F,Heavyweight,M,KO/TKO,Punches to Head On Ground,1,3:53
1299,146,Herb Dean,2183.0,3628.0,2183.0,3,F,Heavyweight,M,KO/TKO,"Elbows to Body On Ground
      Submission to Strikes",3,1:16
1298,146,Josh Rosenthal,894.0,2443.0,894.0,3,F,Middleweight,M,KO/TKO,"to    
      Eye Injury",1,3:01
1297,146,Herb Dean,2702.0,2703.0,2702.0,3,F,Lightweight,M,Submission,Arm Triangle From Side Control,2,3:40
1296,146,Adam Martinez,1853.0,1805.0,1805.0,3,F,Light Heavyweight,M,Decision,Split,3,5:00
1295,146,Tim Mills,1957.0,3103.0,3103.0,3,F,Lightweight,M,KO/TKO,"to    
      Ankle Injury",1,0:44
1294,146,Tom Johnson,2493.0,1006.0,2493.0,3,F,Welterweight,M,KO/TKO,Punch to Head On Ground,1,2:01
1293,146,Adam Martinez,793.0,2766.0,793.0,3,F,Heavyweight,M,KO/TKO,Punches to Head At Distance,1,0:47
1292,146,Tim Mills,1203.0,1293.0,1203.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00
1291,146,Tom Johnson,796.0,3676.0,3676.0,3,F,Light Heavyweight,M,Decision,Unanimous,3,5:00
1290,145,Herb Dean,272.0,1458.0,272.0,3,F,Heavyweight,M,KO/TKO,Punch to Head At Distance,1,2:20
1289,145,Josh Rosenthal,702.0,3767.0,702.0,3,F,Middleweight,M,Decision,Unanimous,3,5:00
1288,145,Herb Dean,595.0,539.0,595.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
1287,145,Josh Rosenthal,3891.0,2404.0,3891.0,3,F,Light Heavyweight,M,KO/TKO,Punch to Head At Distance,3,2:10
1286,145,Herb Dean,2990.0,1244.0,2990.0,3,F,Heavyweight,M,TKO - Doctor's Stoppage,Facial Cut,2,5:00
1285,145,John Sharp,596.0,3725.0,596.0,3,F,Light Heavyweight,M,TKO - Doctor's Stoppage,Facial Cut,3,1:04
1284,145,Steve Perceval,1946.0,2951.0,1946.0,3,F,Welterweight,M,Submission,Kneebar From Inoki-Ali Position,1,1:41
1283,145,John Sharp,3191.0,1075.0,3191.0,3,F,Middleweight,M,Decision,Unanimous,3,5:00
1282,145,Steve Perceval,429.0,1188.0,429.0,3,F,Light Heavyweight,M,KO/TKO,Punches to Head From Half Guard,3,3:26
1281,144,Steve Mazzagatti,3371.0,3425.0,3371.0,3,F,Light Heavyweight,M,Submission,"Rear Naked Choke
      Technical Submission",2,1:09
1280,144,Josh Rosenthal,604.0,1860.0,604.0,3,F,Middleweight,M,Decision,Unanimous,3,5:00
1279,144,Herb Dean,410.0,483.0,410.0,3,F,Welterweight,M,Submission,"D'Arce Choke From Half Guard
      Technical Submission",2,1:54
1278,144,Steve Mazzagatti,1901.0,1694.0,1901.0,3,F,Middleweight,M,Decision,Unanimous,3,5:00
1277,144,Josh Rosenthal,750.0,359.0,750.0,3,F,Welterweight,M,KO/TKO,Punch to Head At Distance,1,2:23
1276,144,Herb Dean,3298.0,3638.0,3298.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
1275,144,Josh Rosenthal,2700.0,377.0,2700.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
1274,144,Herb Dean,3089.0,1444.0,3089.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
1273,144,Steve Mazzagatti,3288.0,557.0,3288.0,3,F,Light Heavyweight,M,Decision,Unanimous,3,5:00
1272,144,Josh Rosenthal,348.0,2676.0,348.0,3,F,Heavyweight,M,Decision,Majority,3,5:00
1271,144,Herb Dean,3809.0,2748.0,3809.0,3,F,Heavyweight,M,KO/TKO,Punches to Head On Ground,2,1:31
1270,143,Mario Yamasaki,1798.0,3221.0,1798.0,3,F,Lightweight,M,Decision,Split,3,5:00
1269,143,Dan Miragliotta,3145.0,3065.0,3145.0,3,F,Lightweight,M,Submission,Armbar From Back Control,3,1:59
1268,143,Kevin Mulhall,665.0,2096.0,665.0,3,F,Middleweight,M,Decision,Split,3,5:00
1267,143,Mario Yamasaki,905.0,3760.0,905.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00
1266,143,Dan Miragliotta,2083.0,696.0,2083.0,3,F,Middleweight,M,Decision,Unanimous,3,5:00
1265,143,Kevin Mulhall,523.0,2054.0,523.0,3,F,Welterweight,M,Decision,Split,3,5:00
1264,143,Dan Miragliotta,1940.0,2683.0,1940.0,3,F,Welterweight,M,Submission,Armbar From Side Control,1,4:27
1263,143,Rick McCoy,3185.0,3696.0,3185.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
1262,143,Todd McGovern,2637.0,877.0,2637.0,3,F,Middleweight,M,KO/TKO,Punches to Head From Half Guard,3,3:24
1261,143,Rick McCoy,3509.0,2959.0,3509.0,3,F,Middleweight,M,Decision,Split,3,5:00
1260,142,Yves Lavigne,3051.0,701.0,3051.0,3,F,Light Heavyweight,M,Decision,Unanimous,3,5:00
1259,142,Herb Dean,3314.0,2609.0,3314.0,3,F,Welterweight,M,KO/TKO,Punch to Head At Distance,1,2:24
1258,142,Steve Mazzagatti,519.0,2102.0,519.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
1257,142,Mario Yamasaki,1693.0,1957.0,1693.0,3,F,Lightweight,M,Submission,Armbar From Mount,1,2:31
1256,142,Herb Dean,3184.0,36.0,3184.0,3,F,Heavyweight,M,KO/TKO,Punch to Head At Distance,1,2:07
1255,142,Yves Lavigne,2293.0,226.0,2293.0,3,F,Welterweight,M,Submission,Guillotine Choke From Front Headlock,1,4:03
1254,142,Steve Mazzagatti,1692.0,2101.0,1692.0,3,F,Lightweight,M,Submission,Inverted Triangle From Bottom,1,3:05
1253,142,Mario Yamasaki,1569.0,2388.0,1569.0,3,F,Middleweight,M,KO/TKO,"Punches to Head From Back Control
      Submission to Strikes",1,2:30
1252,142,Yves Lavigne,3102.0,1143.0,3102.0,3,F,Welterweight,M,KO/TKO,Punch to Head In Clinch,2,0:22
1251,142,Herb Dean,1402.0,2695.0,1402.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
1250,141,Herb Dean,1267.0,870.0,1267.0,5,T,Lightweight,M,TKO - Doctor's Stoppage,Facial Cut,5,2:37
1249,141,Herb Dean,1676.0,2183.0,1676.0,3,F,Heavyweight,M,Submission,"Guillotine Choke From Bottom Half Guard
      Technical Submission",1,1:12
